	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
20	-2.11179	14.02892	29.71365	6.18209	-19.98779	-165.46593	8.89436	0.78793	89.08501	-5.80739	-14.97150	-83.07159	-5.46390	15.47189	-143.02724	-2.99085	-5.73246	-89.54134	-7.60380	-0.62753	4.59567
21	-2.12218	14.03331	29.73416	6.18246	-19.98319	-165.45155	8.89373	0.78637	89.08531	-5.80803	-14.96481	-83.05201	-5.46117	15.46215	-143.03415	-2.98654	-5.73457	-89.54196	-7.58824	-0.63352	4.57688
22	-2.13307	14.03780	29.75622	6.18259	-19.97877	-165.43843	8.89226	0.78488	89.08565	-5.80848	-14.95818	-83.03242	-5.45840	15.45253	-143.04124	-2.98218	-5.73681	-89.54256	-7.57224	-0.63953	4.55795
23	-2.14443	14.04231	29.77975	6.18257	-19.97455	-165.42657	8.89012	0.78354	89.08600	-5.80877	-14.95169	-83.01298	-5.45558	15.44311	-143.04857	-2.97768	-5.73921	-89.54311	-7.55582	-0.64550	4.53900
24	-2.15623	14.04674	29.80461	6.18246	-19.97053	-165.41591	8.88748	0.78236	89.08633	-5.80896	-14.94540	-82.99388	-5.45270	15.43393	-143.05614	-2.97302	-5.74178	-89.54359	-7.53904	-0.65136	4.52013
25	-2.16845	14.05102	29.83068	6.18232	-19.96674	-165.40643	8.88456	0.78139	89.08665	-5.80907	-14.93939	-82.97532	-5.44973	15.42508	-143.06398	-2.96819	-5.74452	-89.54402	-7.52192	-0.65702	4.50143
26	-2.18106	14.05505	29.85780	6.18224	-19.96316	-165.39801	8.88158	0.78063	89.08693	-5.80917	-14.93371	-82.95744	-5.44668	15.41659	-143.07204	-2.96324	-5.74744	-89.54437	-7.50453	-0.66243	4.48297
27	-2.19403	14.05875	29.88587	6.18225	-19.95978	-165.39055	8.87873	0.78011	89.08714	-5.80927	-14.92841	-82.94038	-5.44353	15.40855	-143.08031	-2.95825	-5.75051	-89.54462	-7.48692	-0.66754	4.46478
28	-2.20735	14.06207	29.91477	6.18243	-19.95657	-165.38394	8.87618	0.77984	89.08731	-5.80941	-14.92352	-82.92421	-5.44029	15.40099	-143.08876	-2.95334	-5.75372	-89.54479	-7.46917	-0.67231	4.44686
29	-2.22099	14.06498	29.94448	6.18279	-19.95347	-165.37805	8.87407	0.77985	89.08740	-5.80959	-14.91906	-82.90897	-5.43701	15.39396	-143.09732	-2.94863	-5.75702	-89.54486	-7.45132	-0.67672	4.42916
